date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:20:50	85/85	---MCZ	200	added ('OK')	text/plain	date:Mon,%2009%20Mar%202020%2011:15:28%20GMT	https://phuongtanit.blogspot.com/robots.txt		(from )
18:20:51	730185/730185	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202020%2011:15:28%20GMT	https://phuongtanit.blogspot.com/	C:/My%20Web%20Sites/phuongtanitblogspot/phuongtanit.blogspot.com/index.html	(from )
18:20:52	1574/1574	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2009%20Mar%202020%2011:20:51%20GMT	http://www.google.com/2005/gml/expr	C:/My%20Web%20Sites/phuongtanitblogspot/www.google.com/2005/gml/expr.0.delayed	(from https://phuongtanit.blogspot.com/)
18:20:53	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Mon,%2009%20Mar%202020%2011:20:53%20GMT	http://licklink.net/js/full-page-script.js	C:/My%20Web%20Sites/phuongtanitblogspot/licklink.net/js/full-page-script.2.delayed	(from https://phuongtanit.blogspot.com/)
18:20:53	36974/36974	---M--	200	added ('OK')	text/css	date:Sun,%2008%20Mar%202020%2005:18:06%20GMT	https://www.blogger.com/static/v1/widgets/3597120983-css_bundle_v2.css	C:/My%20Web%20Sites/phuongtanitblogspot/www.blogger.com/static/v1/widgets/3597120983-css_bundle_v2.css	(from https://phuongtanit.blogspot.com/)
18:21:09	2153/2153	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2009%20Mar%202020%2011:21:09%20GMT	https://licklink.net/js/full-page-script.js	C:/My%20Web%20Sites/phuongtanitblogspot/licklink.net/js/full-page-script.js	(from https://phuongtanit.blogspot.com/)
18:21:12	1150/1150	---MCZ	200	added ('OK')	image/x-icon	date:Mon,%2009%20Mar%202020%2011:15:28%20GMT	https://phuongtanit.blogspot.com/favicon.ico	C:/My%20Web%20Sites/phuongtanitblogspot/phuongtanit.blogspot.com/favicon.ico	(from https://phuongtanit.blogspot.com/)
18:21:14	326693/326693	---M-Z	200	added ('OK')	application/atom+xml	date:Mon,%2009%20Mar%202020%2011:15:28%20GMT	https://phuongtanit.blogspot.com/feeds/posts/default	C:/My%20Web%20Sites/phuongtanitblogspot/phuongtanit.blogspot.com/feeds/posts/default	(from https://phuongtanit.blogspot.com/)
18:21:15	302804/302804	---M-Z	200	added ('OK')	application/rss+xml	date:Mon,%2009%20Mar%202020%2011:15:28%20GMT	https://phuongtanit.blogspot.com/feeds/posts/default?alt=rss	C:/My%20Web%20Sites/phuongtanitblogspot/phuongtanit.blogspot.com/feeds/posts/default9522	(from https://phuongtanit.blogspot.com/)
18:21:15	108008/108008	---MC-	200	added ('OK')	text/javascript	date:Mon,%2009%20Mar%202020%2011:21:09%20GMT	http://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/My%20Web%20Sites/phuongtanitblogspot/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://phuongtanit.blogspot.com/)
18:21:16	1637/1637	---MCZ	400	error ('Bad%20Request')	text/html	date:Mon,%2009%20Mar%202020%2011:21:16%20GMT	http://fonts.googleapis.com/css?family=Arial	C:/My%20Web%20Sites/phuongtanitblogspot/fonts.googleapis.com/css.aeecb.delayed	(from https://phuongtanit.blogspot.com/)
18:21:16	292884/292884	---MCZ	200	added ('OK')	application/atom+xml	date:Mon,%2009%20Mar%202020%2011:15:28%20GMT	https://www.blogger.com/feeds/8919935760160761133/posts/default	C:/My%20Web%20Sites/phuongtanitblogspot/www.blogger.com/feeds/8919935760160761133/posts/default	(from https://phuongtanit.blogspot.com/)
18:21:16	141839/141839	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Mar%202020%2011:21:15%20GMT	https://www.blogger.com/profile/11821703246023775497	C:/My%20Web%20Sites/phuongtanitblogspot/www.blogger.com/profile/11821703246023775497.html	(from https://phuongtanit.blogspot.com/)
